id,time,summary,icon,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone,precipType,,,,,,
0,1483250400,Mostly Cloudy,partly-cloudy-night,0,0,64.58,64.58,54.95,0.71,1012.71,2.66,4.21,261,0.6,0,6.001,,,,,,,,
1,1483254000,Mostly Cloudy,partly-cloudy-night,0,0,67.11,67.11,54.5,0.64,,3.22,6.43,260,0.75,0,6.001,,,,,,,,
2,1483257600,Mostly Cloudy,partly-cloudy-night,0,0,67.94,67.94,54.38,0.62,,4.07,6.93,277,0.75,0,6.001,,,,,,,,
3,1483261200,Overcast,cloudy,0,0,68.68,68.68,54.46,0.6,1010.3,3.33,7.37,269,1,0,9.997,,,,,,,,
4,1483264800,Overcast,cloudy,0,0,68.64,68.64,54.37,0.6,,2.74,6.42,178,1,0,9.997,,,,,,,,
5,1483268400,Overcast,cloudy,0,0,67.78,67.78,54.24,0.62,,2.58,7.8,239,1,0,6.001,,,,,,,,
6,1483272000,Overcast,cloudy,0,0,65.06,65.06,54.33,0.68,1012.51,2.06,4.77,268,1,0,3.998,,,,,,,,
7,1483275600,Mostly Cloudy,partly-cloudy-night,0,0,63.32,63.32,53.92,0.71,,1.66,2.43,194,0.87,0,8.081,,,,,,,,
8,1483279200,Mostly Cloudy,partly-cloudy-day,0,0,62.3,62.3,53.89,0.74,,1.27,4.9,157,0.87,0,8.081,,,,,,,,
9,1483282800,Overcast,cloudy,0,0,63.34,63.34,54.94,0.74,1015.19,0.66,2.98,270,1,1,9.123,,,,,,,,
10,1483286400,Mostly Cloudy,partly-cloudy-day,0,0,67.11,67.11,55.67,0.67,,1.05,2.15,169,0.87,2,10,,,,,,,,
11,1483290000,Overcast,cloudy,0,0,72.02,72.02,55.49,0.56,,1.6,2.7,97,0.88,3,10,,,,,,,,
12,1483293600,Mostly Cloudy,partly-cloudy-day,0,0,74.47,74.47,56.18,0.53,1013.2,2.94,5.52,70,0.87,3,10,,,,,,,,
13,1483297200,Mostly Cloudy,partly-cloudy-day,0,0,76.74,76.74,55.92,0.49,,4.11,7.56,97,0.59,4,10,,,,,,,,
